# time,b dist,b angle,b Ddist,b Dangle,p "Gliders2016" 1 dist,p "Gliders2016" 1 angle,p "Gliders2016" 1 Ddist,p "Gliders2016" 1 Dangle,p "Gliders2016" 1 body,p "Gliders2016" 1 head,p "Gliders2016" 1 pointdir,p "Gliders2016" 1 state,p "Gliders2016" 2 dist,p "Gliders2016" 2 angle,p "Gliders2016" 2 Ddist,p "Gliders2016" 2 Dangle,p "Gliders2016" 2 body,p "Gliders2016" 2 head,p "Gliders2016" 2 pointdir,p "Gliders2016" 2 state,p "Gliders2016" 3 dist,p "Gliders2016" 3 angle,p "Gliders2016" 3 Ddist,p "Gliders2016" 3 Dangle,p "Gliders2016" 3 body,p "Gliders2016" 3 head,p "Gliders2016" 3 pointdir,p "Gliders2016" 3 state,p "Gliders2016" 4 dist,p "Gliders2016" 4 angle,p "Gliders2016" 4 Ddist,p "Gliders2016" 4 Dangle,p "Gliders2016" 4 body,p "Gliders2016" 4 head,p "Gliders2016" 4 pointdir,p "Gliders2016" 4 state,p "Gliders2016" 5 dist,p "Gliders2016" 5 angle,p "Gliders2016" 5 Ddist,p "Gliders2016" 5 Dangle,p "Gliders2016" 5 body,p "Gliders2016" 5 head,p "Gliders2016" 5 pointdir,p "Gliders2016" 5 state,p "Gliders2016" 6 dist,p "Gliders2016" 6 angle,p "Gliders2016" 6 Ddist,p "Gliders2016" 6 Dangle,p "Gliders2016" 6 body,p "Gliders2016" 6 head,p "Gliders2016" 6 pointdir,p "Gliders2016" 6 state,p "Gliders2016" 7 dist,p "Gliders2016" 7 angle,p "Gliders2016" 7 Ddist,p "Gliders2016" 7 Dangle,p "Gliders2016" 7 body,p "Gliders2016" 7 head,p "Gliders2016" 7 pointdir,p "Gliders2016" 7 state,p "Gliders2016" 8 dist,p "Gliders2016" 8 angle,p "Gliders2016" 8 Ddist,p "Gliders2016" 8 Dangle,p "Gliders2016" 8 body,p "Gliders2016" 8 head,p "Gliders2016" 8 pointdir,p "Gliders2016" 8 state,p "Gliders2016" 9 dist,p "Gliders2016" 9 angle,p "Gliders2016" 9 Ddist,p "Gliders2016" 9 Dangle,p "Gliders2016" 9 body,p "Gliders2016" 9 head,p "Gliders2016" 9 pointdir,p "Gliders2016" 9 state,p "Gliders2016" 10 dist,p "Gliders2016" 10 angle,p "Gliders2016" 10 Ddist,p "Gliders2016" 10 Dangle,p "Gliders2016" 10 body,p "Gliders2016" 10 head,p "Gliders2016" 10 pointdir,p "Gliders2016" 10 state,p "Gliders2016" 11 dist,p "Gliders2016" 11 angle,p "Gliders2016" 11 Ddist,p "Gliders2016" 11 Dangle,p "Gliders2016" 11 body,p "Gliders2016" 11 head,p "Gliders2016" 11 pointdir,p "Gliders2016" 11 state,p "HELIOS2016" 1 dist,p "HELIOS2016" 1 angle,p "HELIOS2016" 1 Ddist,p "HELIOS2016" 1 Dangle,p "HELIOS2016" 1 body,p "HELIOS2016" 1 head,p "HELIOS2016" 1 pointdir,p "HELIOS2016" 1 state,p "HELIOS2016" 2 dist,p "HELIOS2016" 2 angle,p "HELIOS2016" 2 Ddist,p "HELIOS2016" 2 Dangle,p "HELIOS2016" 2 body,p "HELIOS2016" 2 head,p "HELIOS2016" 2 pointdir,p "HELIOS2016" 2 state,p "HELIOS2016" 3 dist,p "HELIOS2016" 3 angle,p "HELIOS2016" 3 Ddist,p "HELIOS2016" 3 Dangle,p "HELIOS2016" 3 body,p "HELIOS2016" 3 head,p "HELIOS2016" 3 pointdir,p "HELIOS2016" 3 state,p "HELIOS2016" 4 dist,p "HELIOS2016" 4 angle,p "HELIOS2016" 4 Ddist,p "HELIOS2016" 4 Dangle,p "HELIOS2016" 4 body,p "HELIOS2016" 4 head,p "HELIOS2016" 4 pointdir,p "HELIOS2016" 4 state,p "HELIOS2016" 5 dist,p "HELIOS2016" 5 angle,p "HELIOS2016" 5 Ddist,p "HELIOS2016" 5 Dangle,p "HELIOS2016" 5 body,p "HELIOS2016" 5 head,p "HELIOS2016" 5 pointdir,p "HELIOS2016" 5 state,p "HELIOS2016" 6 dist,p "HELIOS2016" 6 angle,p "HELIOS2016" 6 Ddist,p "HELIOS2016" 6 Dangle,p "HELIOS2016" 6 body,p "HELIOS2016" 6 head,p "HELIOS2016" 6 pointdir,p "HELIOS2016" 6 state,p "HELIOS2016" 7 dist,p "HELIOS2016" 7 angle,p "HELIOS2016" 7 Ddist,p "HELIOS2016" 7 Dangle,p "HELIOS2016" 7 body,p "HELIOS2016" 7 head,p "HELIOS2016" 7 pointdir,p "HELIOS2016" 7 state,p "HELIOS2016" 8 dist,p "HELIOS2016" 8 angle,p "HELIOS2016" 8 Ddist,p "HELIOS2016" 8 Dangle,p "HELIOS2016" 8 body,p "HELIOS2016" 8 head,p "HELIOS2016" 8 pointdir,p "HELIOS2016" 8 state,p "HELIOS2016" 9 dist,p "HELIOS2016" 9 angle,p "HELIOS2016" 9 Ddist,p "HELIOS2016" 9 Dangle,p "HELIOS2016" 9 body,p "HELIOS2016" 9 head,p "HELIOS2016" 9 pointdir,p "HELIOS2016" 9 state,p "HELIOS2016" 10 dist,p "HELIOS2016" 10 angle,p "HELIOS2016" 10 Ddist,p "HELIOS2016" 10 Dangle,p "HELIOS2016" 10 body,p "HELIOS2016" 10 head,p "HELIOS2016" 10 pointdir,p "HELIOS2016" 10 state,p "HELIOS2016" 11 dist,p "HELIOS2016" 11 angle,p "HELIOS2016" 11 Ddist,p "HELIOS2016" 11 Dangle,p "HELIOS2016" 11 body,p "HELIOS2016" 11 head,p "HELIOS2016" 11 pointdir,p "HELIOS2016" 11 state,u "Gliders2016" 1 dist,u "Gliders2016" 1 angle,u "Gliders2016" 1 pointdir,u "Gliders2016" 1 state,u "Gliders2016" 2 dist,u "Gliders2016" 2 angle,u "Gliders2016" 2 pointdir,u "Gliders2016" 2 state,u "Gliders2016" 3 dist,u "Gliders2016" 3 angle,u "Gliders2016" 3 pointdir,u "Gliders2016" 3 state,u "Gliders2016" 4 dist,u "Gliders2016" 4 angle,u "Gliders2016" 4 pointdir,u "Gliders2016" 4 state,u "HELIOS2016" 1 dist,u "HELIOS2016" 1 angle,u "HELIOS2016" 1 pointdir,u "HELIOS2016" 1 state,u "HELIOS2016" 2 dist,u "HELIOS2016" 2 angle,u "HELIOS2016" 2 pointdir,u "HELIOS2016" 2 state,u "HELIOS2016" 3 dist,u "HELIOS2016" 3 angle,u "HELIOS2016" 3 pointdir,u "HELIOS2016" 3 state,u "HELIOS2016" 4 dist,u "HELIOS2016" 4 angle,u "HELIOS2016" 4 pointdir,u "HELIOS2016" 4 state,U 1 dist,U 1 angle,U 2 dist,U 2 angle,U 3 dist,U 3 angle,U 4 dist,U 4 angle
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",3,0,0,0,0,0,NAN,"",6,0,0,0,0,0,NAN,"",9,0,0,0,0,0,NAN,"",12.2,0,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,50,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",3,180,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",3,0,0,0,0,0,NAN,"",6,0,0,0,0,0,NAN,"",9,0,0,0,0,0,NAN,"",12.2,0,0,0,0,0,NAN,"",14.9,0,0,0,0,0,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,50,3,180,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,19,0,0,0,0,NAN,"",16.4,-19,0,0,0,0,NAN,"",22.2,52,0,0,0,0,NAN,"",22.2,-52,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",10,62,0,0,0,0,NAN,"",10,-62,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",40.4,0,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",0.6,180,NAN,NAN,NAN,NAN,NAN,NAN
0,10,-1,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",22.2,11,-0,0,-22,-22,NAN,"",22.2,-13,0,0,-7,-7,NAN,"",27.1,35,-0,0,-169,-169,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,5,-0,0,-177,-177,NAN,"",22.2,27,-0,0,150,150,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",27.1,65,-0,0,29,29,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",11,-1,0,0,153,153,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,72,-0,0,4,4,NAN,"",0.6,-1,0,0,-11,-11,NAN,"",27.1,-37,NAN,"",22.2,-29,NAN,"",27.1,-67,NAN,"",NAN,NAN,NAN,"nan",24.5,-74,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",60.3,-1,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,29,0,0,35,35,NAN,"",16.4,-8,0,0,11,11,NAN,"",22.2,63,0,0,36,36,NAN,"",22.2,-42,0,0,-4,-4,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",10,72,0,0,0,0,NAN,"",10,-51,0,0,21,21,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",40.4,11,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",0.6,-169,NAN,NAN,NAN,NAN,NAN,NAN
0,10,21,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",22.2,34,-0,0,8,8,NAN,"",22.2,9,0,0,11,11,NAN,"",27.1,57,-0,0,-150,-150,NAN,"",27.1,-15,0,0,164,164,NAN,"",16.4,28,-0,0,-166,-166,NAN,"",22.2,49,-0,0,-177,-177,NAN,"",22.2,-7,0,0,6,6,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",27.1,-45,0,0,43,43,NAN,"",11,21,0,0,-170,-170,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-52,0,0,-5,-5,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",0.6,21,0,0,-17,-17,NAN,"",27.1,87,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",60.3,21,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,23,0,0,13,13,NAN,"",16.4,-14,0,0,-18,-18,NAN,"",22.2,57,0,0,33,33,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",10,66,0,0,-17,-17,NAN,"",10,-57,0,0,8,8,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",40.4,5,NAN,"",22.2,-48,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",0.6,-175,NAN,NAN,NAN,NAN,NAN,NAN
0,10,17,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",22.2,29,-0,0,25,25,NAN,"",22.2,5,0,0,18,18,NAN,"",27.1,53,-0,0,-160,-160,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,23,-0,0,-175,-175,NAN,"",22.2,45,-0,0,-171,-171,NAN,"",22.2,-11,0,0,10,10,NAN,"",27.1,83,-0,0,74,74,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",11,17,0,0,-180,-180,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-56,0,0,-2,-2,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",0.6,17,0,0,-2,-2,NAN,"",27.1,-19,NAN,"",27.1,-49,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",60.3,17,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,51,0,0,50,50,NAN,"",16.4,14,0,0,12,12,NAN,"",22.2,85,0,0,56,56,NAN,"",22.2,-20,0,0,13,13,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",10,-29,0,0,13,13,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",27.1,-81,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",40.4,33,NAN,"",24.5,-74,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",0.6,-147,NAN,NAN,NAN,NAN,NAN,NAN
0,10,39,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",22.2,51,-0,0,64,64,NAN,"",22.2,26,0,0,39,39,NAN,"",27.1,75,-0,0,-119,-119,NAN,"",27.1,3,0,0,145,145,NAN,"",16.4,45,-0,0,-128,-128,NAN,"",22.2,67,-0,0,-151,-151,NAN,"",22.2,11,0,0,13,13,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",27.1,-27,0,0,35,35,NAN,"",11,39,0,0,-148,-148,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",10,-80,0,0,32,32,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-35,0,0,6,6,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",0.6,39,0,0,27,27,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",22.2,-89,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",60.3,39,NAN,NAN,NAN,NAN,NAN,NAN
