# time,b dist,b angle,b Ddist,b Dangle,p "HfutEngine2017" 1 dist,p "HfutEngine2017" 1 angle,p "HfutEngine2017" 1 Ddist,p "HfutEngine2017" 1 Dangle,p "HfutEngine2017" 1 body,p "HfutEngine2017" 1 head,p "HfutEngine2017" 1 pointdir,p "HfutEngine2017" 1 state,p "HfutEngine2017" 2 dist,p "HfutEngine2017" 2 angle,p "HfutEngine2017" 2 Ddist,p "HfutEngine2017" 2 Dangle,p "HfutEngine2017" 2 body,p "HfutEngine2017" 2 head,p "HfutEngine2017" 2 pointdir,p "HfutEngine2017" 2 state,p "HfutEngine2017" 3 dist,p "HfutEngine2017" 3 angle,p "HfutEngine2017" 3 Ddist,p "HfutEngine2017" 3 Dangle,p "HfutEngine2017" 3 body,p "HfutEngine2017" 3 head,p "HfutEngine2017" 3 pointdir,p "HfutEngine2017" 3 state,p "HfutEngine2017" 4 dist,p "HfutEngine2017" 4 angle,p "HfutEngine2017" 4 Ddist,p "HfutEngine2017" 4 Dangle,p "HfutEngine2017" 4 body,p "HfutEngine2017" 4 head,p "HfutEngine2017" 4 pointdir,p "HfutEngine2017" 4 state,p "HfutEngine2017" 5 dist,p "HfutEngine2017" 5 angle,p "HfutEngine2017" 5 Ddist,p "HfutEngine2017" 5 Dangle,p "HfutEngine2017" 5 body,p "HfutEngine2017" 5 head,p "HfutEngine2017" 5 pointdir,p "HfutEngine2017" 5 state,p "HfutEngine2017" 6 dist,p "HfutEngine2017" 6 angle,p "HfutEngine2017" 6 Ddist,p "HfutEngine2017" 6 Dangle,p "HfutEngine2017" 6 body,p "HfutEngine2017" 6 head,p "HfutEngine2017" 6 pointdir,p "HfutEngine2017" 6 state,p "HfutEngine2017" 7 dist,p "HfutEngine2017" 7 angle,p "HfutEngine2017" 7 Ddist,p "HfutEngine2017" 7 Dangle,p "HfutEngine2017" 7 body,p "HfutEngine2017" 7 head,p "HfutEngine2017" 7 pointdir,p "HfutEngine2017" 7 state,p "HfutEngine2017" 8 dist,p "HfutEngine2017" 8 angle,p "HfutEngine2017" 8 Ddist,p "HfutEngine2017" 8 Dangle,p "HfutEngine2017" 8 body,p "HfutEngine2017" 8 head,p "HfutEngine2017" 8 pointdir,p "HfutEngine2017" 8 state,p "HfutEngine2017" 9 dist,p "HfutEngine2017" 9 angle,p "HfutEngine2017" 9 Ddist,p "HfutEngine2017" 9 Dangle,p "HfutEngine2017" 9 body,p "HfutEngine2017" 9 head,p "HfutEngine2017" 9 pointdir,p "HfutEngine2017" 9 state,p "HfutEngine2017" 10 dist,p "HfutEngine2017" 10 angle,p "HfutEngine2017" 10 Ddist,p "HfutEngine2017" 10 Dangle,p "HfutEngine2017" 10 body,p "HfutEngine2017" 10 head,p "HfutEngine2017" 10 pointdir,p "HfutEngine2017" 10 state,p "HfutEngine2017" 11 dist,p "HfutEngine2017" 11 angle,p "HfutEngine2017" 11 Ddist,p "HfutEngine2017" 11 Dangle,p "HfutEngine2017" 11 body,p "HfutEngine2017" 11 head,p "HfutEngine2017" 11 pointdir,p "HfutEngine2017" 11 state,p "HELIOS2017" 1 dist,p "HELIOS2017" 1 angle,p "HELIOS2017" 1 Ddist,p "HELIOS2017" 1 Dangle,p "HELIOS2017" 1 body,p "HELIOS2017" 1 head,p "HELIOS2017" 1 pointdir,p "HELIOS2017" 1 state,p "HELIOS2017" 2 dist,p "HELIOS2017" 2 angle,p "HELIOS2017" 2 Ddist,p "HELIOS2017" 2 Dangle,p "HELIOS2017" 2 body,p "HELIOS2017" 2 head,p "HELIOS2017" 2 pointdir,p "HELIOS2017" 2 state,p "HELIOS2017" 3 dist,p "HELIOS2017" 3 angle,p "HELIOS2017" 3 Ddist,p "HELIOS2017" 3 Dangle,p "HELIOS2017" 3 body,p "HELIOS2017" 3 head,p "HELIOS2017" 3 pointdir,p "HELIOS2017" 3 state,p "HELIOS2017" 4 dist,p "HELIOS2017" 4 angle,p "HELIOS2017" 4 Ddist,p "HELIOS2017" 4 Dangle,p "HELIOS2017" 4 body,p "HELIOS2017" 4 head,p "HELIOS2017" 4 pointdir,p "HELIOS2017" 4 state,p "HELIOS2017" 5 dist,p "HELIOS2017" 5 angle,p "HELIOS2017" 5 Ddist,p "HELIOS2017" 5 Dangle,p "HELIOS2017" 5 body,p "HELIOS2017" 5 head,p "HELIOS2017" 5 pointdir,p "HELIOS2017" 5 state,p "HELIOS2017" 6 dist,p "HELIOS2017" 6 angle,p "HELIOS2017" 6 Ddist,p "HELIOS2017" 6 Dangle,p "HELIOS2017" 6 body,p "HELIOS2017" 6 head,p "HELIOS2017" 6 pointdir,p "HELIOS2017" 6 state,p "HELIOS2017" 7 dist,p "HELIOS2017" 7 angle,p "HELIOS2017" 7 Ddist,p "HELIOS2017" 7 Dangle,p "HELIOS2017" 7 body,p "HELIOS2017" 7 head,p "HELIOS2017" 7 pointdir,p "HELIOS2017" 7 state,p "HELIOS2017" 8 dist,p "HELIOS2017" 8 angle,p "HELIOS2017" 8 Ddist,p "HELIOS2017" 8 Dangle,p "HELIOS2017" 8 body,p "HELIOS2017" 8 head,p "HELIOS2017" 8 pointdir,p "HELIOS2017" 8 state,p "HELIOS2017" 9 dist,p "HELIOS2017" 9 angle,p "HELIOS2017" 9 Ddist,p "HELIOS2017" 9 Dangle,p "HELIOS2017" 9 body,p "HELIOS2017" 9 head,p "HELIOS2017" 9 pointdir,p "HELIOS2017" 9 state,p "HELIOS2017" 10 dist,p "HELIOS2017" 10 angle,p "HELIOS2017" 10 Ddist,p "HELIOS2017" 10 Dangle,p "HELIOS2017" 10 body,p "HELIOS2017" 10 head,p "HELIOS2017" 10 pointdir,p "HELIOS2017" 10 state,p "HELIOS2017" 11 dist,p "HELIOS2017" 11 angle,p "HELIOS2017" 11 Ddist,p "HELIOS2017" 11 Dangle,p "HELIOS2017" 11 body,p "HELIOS2017" 11 head,p "HELIOS2017" 11 pointdir,p "HELIOS2017" 11 state,u "HfutEngine2017" 1 dist,u "HfutEngine2017" 1 angle,u "HfutEngine2017" 1 pointdir,u "HfutEngine2017" 1 state,u "HfutEngine2017" 2 dist,u "HfutEngine2017" 2 angle,u "HfutEngine2017" 2 pointdir,u "HfutEngine2017" 2 state,u "HfutEngine2017" 3 dist,u "HfutEngine2017" 3 angle,u "HfutEngine2017" 3 pointdir,u "HfutEngine2017" 3 state,u "HfutEngine2017" 4 dist,u "HfutEngine2017" 4 angle,u "HfutEngine2017" 4 pointdir,u "HfutEngine2017" 4 state,u "HELIOS2017" 1 dist,u "HELIOS2017" 1 angle,u "HELIOS2017" 1 pointdir,u "HELIOS2017" 1 state,u "HELIOS2017" 2 dist,u "HELIOS2017" 2 angle,u "HELIOS2017" 2 pointdir,u "HELIOS2017" 2 state,u "HELIOS2017" 3 dist,u "HELIOS2017" 3 angle,u "HELIOS2017" 3 pointdir,u "HELIOS2017" 3 state,u "HELIOS2017" 4 dist,u "HELIOS2017" 4 angle,u "HELIOS2017" 4 pointdir,u "HELIOS2017" 4 state,u "HELIOS2017" 5 dist,u "HELIOS2017" 5 angle,u "HELIOS2017" 5 pointdir,u "HELIOS2017" 5 state,u "HELIOS2017" 6 dist,u "HELIOS2017" 6 angle,u "HELIOS2017" 6 pointdir,u "HELIOS2017" 6 state,U 1 dist,U 1 angle,U 2 dist,U 2 angle,U 3 dist,U 3 angle,U 4 dist,U 4 angle,U 5 dist,U 5 angle,U 6 dist,U 6 angle
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",14.9,0,0,0,0,0,NAN,"",12.2,0,0,0,0,0,NAN,"",9,0,0,0,0,0,NAN,"",6,0,0,0,0,0,NAN,"",3,0,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",3,180,81.5,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,44.7,60,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",14.9,0,0,0,0,0,NAN,"",12.2,0,0,0,0,0,NAN,"",9,0,0,0,0,0,NAN,"",6,0,0,0,0,0,NAN,"",3,0,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",30,0,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",27.1,0,NAN,"",33.1,0,NAN,"",36.6,0,NAN,"",40.4,0,NAN,"",40.4,0,NAN,"",NAN,NAN,NAN,"nan",3,180,81.5,28,44.7,0,49.4,0,49.4,0,54.6,0
0,2,0,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",7.4,-82,0,0,0,0,NAN,"",7.4,82,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",27.1,10,0,0,0,0,NAN,"",27.1,-10,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",12.2,0,0,0,0,0,NAN,"",20.1,28,0,0,0,0,NAN,"",20.1,-28,0,0,0,0,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,0,NAN,"",33.1,35,NAN,"",33.1,-35,NAN,"",24.5,78,NAN,"",49.4,-49,NAN,"",49.4,-47,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,-178,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",12.2,27,-0,0,19,19,NAN,"",12.2,-22,0,0,10,10,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",22.2,-25,0,0,-1,-1,NAN,"",13.5,2,0,0,11,11,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,82,-0,0,-10,-10,NAN,"",16.4,-77,0,0,-14,-14,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",49.4,2,NAN,"",22.2,30,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,17,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,-84,-0,0,18,18,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",7.4,-65,0,0,29,29,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",33.1,-18,0,0,27,27,NAN,"",12.2,17,0,0,9,9,NAN,"",20.1,45,0,0,22,22,NAN,"",20.1,-11,0,0,5,5,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-61,0,0,-178,-178,NAN,"",11,17,0,0,-151,-151,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",27.1,27,NAN,"",27.1,6,NAN,"",33.1,52,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,-164,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",12.2,41,-0,0,23,23,NAN,"",12.2,-8,0,0,7,7,NAN,"",22.2,44,-0,0,45,45,NAN,"",22.2,-11,0,0,-5,-5,NAN,"",13.5,16,0,0,-3,-3,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,-63,0,0,-29,-29,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",7.4,-82,0,0,8,8,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-85,0,0,34,34,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,19,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,-81,-0,0,21,21,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",7.4,-63,0,0,8,8,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",33.1,-15,0,0,32,32,NAN,"",12.2,19,0,0,-2,-2,NAN,"",20.1,47,0,0,20,20,NAN,"",20.1,-9,0,0,1,1,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-59,0,0,154,154,NAN,"",11,19,0,0,-149,-149,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",27.1,30,NAN,"",27.1,9,NAN,"",33.1,54,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,-166,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",12.2,38,-0,0,20,20,NAN,"",12.2,-11,0,0,-4,-4,NAN,"",22.2,42,-0,0,58,58,NAN,"",22.2,-14,0,0,-6,-6,NAN,"",13.5,14,0,0,6,6,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,-65,0,0,-31,-31,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",7.4,-84,0,0,-1,-1,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-88,0,0,9,9,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",49.4,14,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,-3,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",7.4,-85,0,0,-23,-23,NAN,"",7.4,79,0,0,-7,-7,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",27.1,8,0,0,28,28,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",12.2,-3,0,0,-34,-34,NAN,"",20.1,25,0,0,-22,-22,NAN,"",20.1,-31,0,0,-23,-23,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",24.5,-81,0,0,135,135,NAN,"",11,-3,0,0,-180,-180,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,-3,NAN,"",27.1,-13,NAN,"",33.1,32,NAN,"",33.1,-37,NAN,"",24.5,76,NAN,"",NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,2,176,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",12.2,21,-0,0,-17,-17,NAN,"",12.2,-28,0,0,-12,-12,NAN,"",22.2,24,-0,0,54,54,NAN,"",22.2,-31,0,0,-28,-28,NAN,"",13.5,-4,0,0,-16,-16,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",16.4,76,-0,0,-17,-17,NAN,"",16.4,-83,0,0,-58,-58,NAN,"",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,NAN,NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",NAN,NAN,NAN,"nan",49.4,-4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
