,time,action,sideWithBall,lenOfNearest,nearestPlayer,lenOfMiddleDist,middleDistPlayer,passPair,goalIsNearest
0,96,dribbling,L,1,['L6'],4,"['L6', 'L7', 'L8', 'L11']",,False
1,97,dribbling,L,1,['L6'],4,"['L6', 'L7', 'L8', 'L11']",,False
2,98,passing,L,1,['L6'],4,"['L6', 'L7', 'L8', 'L11']","['L6', 'L8', 'L']",False
3,99,searching,,0,[],4,"['L6', 'L7', 'L8', 'L11']",,False
4,100,searching,,0,[],3,"['L6', 'L8', 'L11']",,False
5,101,searching,,0,[],4,"['L6', 'L8', 'L11', 'R6']",,False
6,102,dribbling,L,1,['L8'],5,"['L6', 'L8', 'L11', 'R6', 'R7']",,False
7,103,passing,L,1,['L8'],6,"['L6', 'L8', 'L11', 'R6', 'R7', 'R11']","['L8', 'L11', 'L']",False
8,104,searching,,0,[],6,"['L6', 'L8', 'L11', 'R6', 'R7', 'R11']",,False
9,105,searching,,0,[],6,"['L6', 'L8', 'L11', 'R6', 'R7', 'R11']",,False
10,106,dribbling,L,1,['L11'],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
11,107,dribbling,L,1,['L11'],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
12,108,dribbling,L,1,['L11'],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
13,109,dribbling,L,1,['L11'],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
14,110,searching,,2,"['L6', 'L11']",7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
15,111,searching,,2,"['L6', 'L11']",7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
16,112,searching,,0,[],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
17,113,searching,,0,[],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']",,False
18,114,passing,L,1,['L8'],7,"['L6', 'L8', 'L11', 'R3', 'R6', 'R7', 'R11']","['L8', 'L10', 'L']",False
19,115,searching,,0,[],6,"['L6', 'L8', 'L11', 'R6', 'R7', 'R11']",,False
20,116,searching,,0,[],3,"['L8', 'L11', 'R7']",,False
21,117,searching,,0,[],3,"['L8', 'R7', 'R9']",,False
22,118,searching,,0,[],3,"['L8', 'R7', 'R9']",,False
23,119,searching,,0,[],2,"['L10', 'R9']",,False
24,120,searching,,0,[],2,"['L10', 'R9']",,False
25,121,searching,,0,[],3,"['L10', 'R4', 'R9']",,False
26,122,searching,,0,[],3,"['L10', 'R4', 'R9']",,False
27,123,dribbling,L,1,['L10'],3,"['L10', 'R4', 'R9']",,False
28,124,dribbling,L,1,['L10'],3,"['L10', 'R4', 'R9']",,False
29,125,dribbling,L,1,['L10'],3,"['L10', 'R4', 'R9']",,False
30,126,dribbling,L,1,['L10'],3,"['L10', 'R4', 'R9']",,False
31,127,fight,,2,"['L10', 'R9']",4,"['L8', 'L10', 'R4', 'R9']",,False
32,128,searching,,0,[],4,"['L8', 'L10', 'R4', 'R9']",,False
33,129,searching,,0,[],4,"['L8', 'L10', 'R4', 'R9']",,False
34,130,searching,,0,[],4,"['L8', 'L10', 'R4', 'R9']",,False
35,131,searching,,0,[],5,"['L10', 'R3', 'R4', 'R7', 'R9']",,False
36,132,searching,,0,[],3,"['R2', 'R3', 'R4']",,False
37,133,searching,,0,[],3,"['R2', 'R3', 'R4']",,False
38,134,searching,,0,[],3,"['R2', 'R3', 'R4']",,False
39,135,searching,,0,[],3,"['R2', 'R3', 'R4']",,False
40,136,searching,,0,[],2,"['R2', 'R3']",,False
41,137,dribbling,R,1,['R2'],2,"['R2', 'R3']",,False
42,138,dribbling,R,1,['R2'],2,"['R2', 'R3']",,False
43,139,dribbling,R,1,['R2'],2,"['R2', 'R3']",,False
44,140,dribbling,R,1,['R2'],2,"['R2', 'R3']",,False
45,141,dribbling,R,1,['R2'],4,"['L11', 'R2', 'R3', 'R4']",,False
46,142,dribbling,R,1,['R2'],4,"['L11', 'R2', 'R3', 'R4']",,False
47,143,dribbling,R,1,['R2'],3,"['L11', 'R2', 'R3']",,False
48,144,dribbling,R,1,['R2'],3,"['L11', 'R2', 'R3']",,False
49,145,dribbling,R,1,['R2'],4,"['L11', 'R2', 'R3', 'R4']",,False
50,146,passing,R,1,['R2'],3,"['L11', 'R2', 'R3']","['R2', 'R3', 'R']",False
51,147,searching,,0,[],3,"['L11', 'R2', 'R3']",,False
52,148,searching,,0,[],3,"['L11', 'R2', 'R3']",,False
53,149,dribbling,R,1,['R3'],3,"['L11', 'R2', 'R3']",,False
54,150,passing,R,1,['R3'],3,"['L11', 'R2', 'R3']","['R3', 'R4', 'R']",False
55,151,searching,,0,[],4,"['L11', 'R2', 'R3', 'R4']",,False
56,152,searching,,0,[],4,"['L11', 'R2', 'R3', 'R4']",,False
57,153,searching,,0,[],4,"['L11', 'R2', 'R3', 'R4']",,False
58,154,searching,,0,[],3,"['L11', 'R3', 'R4']",,False
59,155,dribbling,R,1,['R4'],3,"['L10', 'L11', 'R4']",,False
60,156,passing,R,1,['R4'],3,"['L10', 'L11', 'R4']","['R4', 'R7', 'R']",False
61,157,searching,,0,[],4,"['L10', 'L11', 'R4', 'R7']",,False
62,158,searching,,0,[],3,"['L10', 'R4', 'R7']",,False
63,159,searching,,0,[],3,"['L10', 'R4', 'R7']",,False
64,160,searching,,0,[],4,"['L8', 'L10', 'R4', 'R7']",,False
65,161,dribbling,R,1,['R7'],3,"['L8', 'L10', 'R7']",,False
66,162,passing,R,1,['R7'],3,"['L8', 'L10', 'R7']","['R7', 'R9', 'R']",False
67,163,searching,,0,[],3,"['L8', 'L10', 'R7']",,False
68,164,searching,,0,[],3,"['L8', 'L10', 'R7']",,False
69,165,searching,,0,[],5,"['L5', 'L8', 'L10', 'R7', 'R9']",,False
70,166,searching,,0,[],5,"['L5', 'L8', 'L10', 'R7', 'R9']",,False
71,167,searching,,0,[],3,"['L5', 'L8', 'R9']",,False
72,168,searching,,0,[],3,"['L5', 'L8', 'R9']",,False
73,169,dribbling,R,1,['R9'],2,"['L5', 'R9']",,False
74,170,dribbling,R,1,['R9'],3,"['L5', 'L8', 'R9']",,False
