,time,action,sideWithBall,lenOfNearest,nearestPlayer,lenOfMiddleDist,middleDistPlayer,passPair,goalIsNearest
0,14,searching,,0,[],6,"['L2', 'L3', 'L6', 'L7', 'L10', 'L11']",,False
1,15,dribbling,L,1,['L6'],6,"['L2', 'L3', 'L6', 'L7', 'L10', 'L11']",,False
2,16,passing,L,1,['L6'],6,"['L2', 'L3', 'L6', 'L7', 'L10', 'L11']","['L6', 'L7', 'L']",False
3,17,searching,,0,[],6,"['L2', 'L3', 'L6', 'L7', 'L10', 'L11']",,False
4,18,dribbling,L,1,['L7'],7,"['L3', 'L6', 'L7', 'L10', 'L11', 'R6', 'R11']",,False
5,19,dribbling,L,1,['L7'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
6,20,dribbling,L,1,['L7'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
7,21,dribbling,L,1,['L7'],7,"['L6', 'L7', 'L10', 'L11', 'R6', 'R8', 'R11']",,False
8,22,dribbling,L,1,['L7'],6,"['L6', 'L7', 'L10', 'R6', 'R8', 'R11']",,False
9,23,passing,L,1,['L7'],6,"['L6', 'L7', 'L10', 'R6', 'R8', 'R11']","['L7', 'L4', 'L']",False
10,24,searching,,0,[],6,"['L6', 'L7', 'L10', 'R6', 'R8', 'R11']",,False
11,25,searching,,0,[],6,"['L6', 'L7', 'L10', 'R6', 'R8', 'R11']",,False
12,26,searching,,0,[],5,"['L6', 'L7', 'L10', 'R8', 'R11']",,False
13,27,searching,,0,[],7,"['L2', 'L4', 'L6', 'L7', 'R8', 'R10', 'R11']",,False
14,28,searching,,0,[],7,"['L2', 'L4', 'L6', 'L7', 'R8', 'R10', 'R11']",,False
15,29,searching,,0,[],7,"['L2', 'L4', 'L6', 'L7', 'R8', 'R10', 'R11']",,False
16,30,searching,,0,[],7,"['L2', 'L4', 'L6', 'L7', 'R8', 'R10', 'R11']",,False
17,31,searching,,0,[],6,"['L2', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
18,32,dribbling,L,1,['L4'],7,"['L2', 'L3', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
19,33,dribbling,L,1,['L4'],7,"['L2', 'L3', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
20,34,dribbling,L,1,['L4'],7,"['L2', 'L3', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
21,35,dribbling,L,1,['L4'],7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
22,36,dribbling,L,1,['L4'],7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
23,37,dribbling,L,1,['L4'],6,"['L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
24,38,dribbling,L,1,['L4'],6,"['L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
25,39,passing,L,1,['L4'],6,"['L4', 'L6', 'R6', 'R8', 'R10', 'R11']","['L4', 'L2', 'L']",False
26,40,searching,,0,[],5,"['L4', 'L6', 'R8', 'R10', 'R11']",,False
27,41,searching,,0,[],6,"['L2', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
28,42,searching,,0,[],6,"['L2', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
29,43,searching,,0,[],5,"['L2', 'L4', 'R8', 'R10', 'R11']",,False
30,44,searching,,0,[],4,"['L2', 'L4', 'R10', 'R11']",,False
31,45,searching,,0,[],3,"['L2', 'R10', 'R11']",,False
32,46,searching,,0,[],3,"['L2', 'R10', 'R11']",,False
33,47,searching,,0,[],3,"['L2', 'R10', 'R11']",,False
34,48,searching,,0,[],2,"['L2', 'R10']",,False
35,49,searching,,0,[],2,"['L2', 'R10']",,False
36,50,searching,,0,[],2,"['L2', 'R10']",,False
37,51,searching,,0,[],2,"['L2', 'R10']",,False
38,52,searching,,0,[],2,"['L2', 'R10']",,False
39,53,searching,,0,[],2,"['L2', 'R10']",,False
40,54,searching,,0,[],2,"['L2', 'R10']",,False
41,55,searching,,0,[],2,"['L2', 'R10']",,False
42,56,searching,,0,[],2,"['L2', 'R10']",,False
43,57,searching,,0,[],2,"['L2', 'R10']",,False
44,58,dribbling,L,1,['L2'],2,"['L2', 'R10']",,False
45,59,dribbling,L,1,['L2'],2,"['L2', 'R10']",,False
46,60,passing,L,1,['L2'],3,"['L2', 'R10', 'R11']","['L2', 'L3', 'L']",False
47,61,searching,,0,[],3,"['L2', 'R10', 'R11']",,False
48,62,searching,,0,[],3,"['L2', 'R10', 'R11']",,False
49,63,searching,,0,[],5,"['L2', 'L3', 'L6', 'R10', 'R11']",,False
50,64,searching,,0,[],6,"['L2', 'L3', 'L4', 'L6', 'R10', 'R11']",,False
51,65,searching,,0,[],6,"['L2', 'L3', 'L4', 'L6', 'R10', 'R11']",,False
52,66,searching,,0,[],5,"['L2', 'L3', 'L4', 'L6', 'R11']",,False
53,67,passing,L,1,['L3'],6,"['L2', 'L3', 'L4', 'L6', 'R9', 'R11']","['L3', 'L6', 'L']",False
54,68,searching,,0,[],7,"['L2', 'L3', 'L4', 'L6', 'R7', 'R9', 'R11']",,False
55,69,searching,,0,[],7,"['L3', 'L4', 'L6', 'R6', 'R7', 'R9', 'R11']",,False
56,70,searching,,0,[],7,"['L3', 'L4', 'L6', 'R6', 'R7', 'R9', 'R11']",,False
57,71,dribbling,L,1,['L6'],8,"['L3', 'L4', 'L6', 'R6', 'R7', 'R8', 'R9', 'R11']",,False
58,72,dribbling,L,1,['L6'],8,"['L3', 'L4', 'L6', 'R6', 'R7', 'R8', 'R9', 'R11']",,False
59,73,dribbling,L,1,['L6'],8,"['L3', 'L4', 'L6', 'R6', 'R7', 'R8', 'R9', 'R11']",,False
60,74,passing,L,1,['L6'],7,"['L3', 'L4', 'L6', 'R6', 'R7', 'R8', 'R11']","['L6', 'L7', 'L']",False
61,75,searching,,0,[],7,"['L3', 'L4', 'L6', 'R6', 'R7', 'R8', 'R11']",,False
62,76,searching,,0,[],5,"['L6', 'L7', 'R6', 'R7', 'R8']",,False
63,77,searching,,0,[],5,"['L6', 'L7', 'R6', 'R7', 'R8']",,False
64,78,searching,,0,[],4,"['L6', 'L7', 'R6', 'R8']",,False
65,79,searching,,0,[],3,"['L6', 'L7', 'R6']",,False
66,80,passing,L,1,['L7'],3,"['L7', 'R2', 'R6']","['L7', 'L11', 'L']",False
67,81,searching,,0,[],3,"['L7', 'L11', 'R2']",,False
68,82,searching,,0,[],3,"['L7', 'L11', 'R2']",,False
69,83,searching,,0,[],3,"['L7', 'L11', 'R2']",,False
70,84,searching,,0,[],4,"['L7', 'L9', 'L11', 'R2']",,False
71,85,dribbling,L,1,['L11'],4,"['L7', 'L9', 'L11', 'R2']",,False
72,86,dribbling,L,1,['L11'],4,"['L7', 'L9', 'L11', 'R2']",,False
73,87,dribbling,L,1,['L11'],4,"['L7', 'L9', 'L11', 'R2']",,False
74,88,dribbling,L,1,['L11'],4,"['L7', 'L9', 'L11', 'R2']",,False
75,89,passing,L,1,['L11'],4,"['L7', 'L9', 'L11', 'R2']","['L11', 'L9', 'L']",False
76,90,searching,,0,[],4,"['L7', 'L9', 'L11', 'R2']",,False
77,91,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
78,92,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
79,93,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
80,94,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
81,95,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
82,96,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
83,97,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
84,98,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
85,99,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
86,100,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
87,101,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
88,102,dribbling,L,1,['L9'],3,"['L9', 'L11', 'R2']",,False
89,103,searching,,2,"['L9', 'L11']",3,"['L9', 'L11', 'R2']",,False
90,104,passing,R,2,"['L9', 'L11']",4,"['L7', 'L9', 'L11', 'R2']","[None, 'RG1', 'R']",False
91,105,searching,,0,[],4,"['L9', 'L11', 'R2', 'R4']",,False
92,106,searching,,0,[],5,"['L9', 'L11', 'R2', 'R3', 'R4']",,False
93,107,searching,,0,[],5,"['L9', 'L11', 'R2', 'R3', 'R4']",,False
94,108,searching,,0,[],5,"['L9', 'L11', 'R2', 'R3', 'R4']",,False
95,109,searching,,0,[],2,"['R2', 'R3']",,False
96,110,searching,,0,[],1,['R3'],,False
97,111,searching,,0,[],1,['R3'],,False
98,112,searching,,0,[],1,['R3'],,False
99,113,searching,,0,[],1,['R3'],,False
100,114,searching,,0,[],0,[],,False
101,115,searching,,0,[],0,[],,False
102,116,searching,,0,[],0,[],,False
103,117,searching,,0,[],0,[],,False
104,118,searching,,0,[],1,['RG1'],,False
105,119,kickingG,L,0,[],1,['RG1'],,True
106,120,searching,,0,[],1,['RG1'],,True
