,time,action,sideWithBall,lenOfNearest,nearestPlayer,lenOfMiddleDist,middleDistPlayer,passPair,goalIsNearest
0,11,searching,,0,[],5,"['L3', 'L6', 'L7', 'L10', 'L11']",,False
1,12,searching,,0,[],4,"['L3', 'L6', 'L7', 'L11']",,False
2,13,dribbling,L,1,['L11'],5,"['L3', 'L6', 'L7', 'L9', 'L11']",,False
3,14,dribbling,L,1,['L11'],5,"['L3', 'L6', 'L7', 'L9', 'L11']",,False
4,15,dribbling,L,1,['L11'],5,"['L3', 'L6', 'L7', 'L9', 'L11']",,False
5,16,dribbling,L,1,['L11'],5,"['L6', 'L7', 'L9', 'L11', 'R7']",,False
6,17,dribbling,L,1,['L11'],6,"['L6', 'L7', 'L9', 'L11', 'R6', 'R7']",,False
7,18,dribbling,L,1,['L11'],5,"['L7', 'L9', 'L11', 'R6', 'R7']",,False
8,19,dribbling,L,1,['L11'],5,"['L7', 'L9', 'L11', 'R6', 'R7']",,False
9,20,searching,,0,[],6,"['L7', 'L9', 'L11', 'R6', 'R7', 'R11']",,False
10,21,dribbling,L,1,['L11'],6,"['L7', 'L9', 'L11', 'R6', 'R7', 'R11']",,False
11,22,dribbling,L,1,['L11'],6,"['L7', 'L9', 'L11', 'R6', 'R7', 'R11']",,False
12,23,dribbling,L,1,['L11'],6,"['L7', 'L9', 'L11', 'R6', 'R7', 'R11']",,False
13,24,passing,L,1,['L11'],5,"['L7', 'L9', 'L11', 'R7', 'R9']","['L11', 'L9', 'L']",False
14,25,searching,,0,[],5,"['L7', 'L9', 'L11', 'R7', 'R9']",,False
15,26,searching,,0,[],5,"['L7', 'L9', 'L11', 'R7', 'R9']",,False
16,27,searching,,0,[],5,"['L9', 'L11', 'R4', 'R7', 'R9']",,False
17,28,dribbling,L,1,['L9'],5,"['L9', 'L11', 'R4', 'R7', 'R9']",,False
18,29,dribbling,L,1,['L9'],5,"['L9', 'L11', 'R4', 'R7', 'R9']",,False
19,30,dribbling,L,1,['L9'],5,"['L9', 'L11', 'R4', 'R7', 'R9']",,False
20,31,dribbling,L,1,['L9'],5,"['L9', 'L11', 'R4', 'R7', 'R9']",,False
21,32,dribbling,L,1,['L9'],5,"['L9', 'L11', 'R4', 'R7', 'R9']",,False
22,33,dribbling,L,1,['L9'],6,"['L7', 'L9', 'L11', 'R4', 'R7', 'R9']",,False
23,38,searching,,0,[],5,"['L6', 'L7', 'L9', 'R7', 'R9']",,False
24,39,searching,,0,[],6,"['L6', 'L7', 'L9', 'R4', 'R7', 'R9']",,False
25,40,dribbling,L,1,['L9'],6,"['L6', 'L7', 'L9', 'R4', 'R7', 'R9']",,False
26,41,dribbling,L,1,['L9'],6,"['L6', 'L7', 'L9', 'L11', 'R4', 'R7']",,False
27,42,dribbling,L,1,['L9'],6,"['L6', 'L7', 'L9', 'L11', 'R4', 'R7']",,False
28,43,dribbling,L,1,['L9'],6,"['L6', 'L7', 'L9', 'L11', 'R4', 'R7']",,False
29,44,dribbling,L,1,['L9'],7,"['L6', 'L7', 'L9', 'L11', 'R3', 'R4', 'R7']",,False
30,45,dribbling,L,1,['L9'],6,"['L7', 'L9', 'L11', 'R3', 'R4', 'R7']",,False
31,46,dribbling,L,1,['L9'],8,"['L6', 'L7', 'L9', 'L11', 'R3', 'R4', 'R7', 'R9']",,False
32,47,dribbling,L,1,['L9'],8,"['L7', 'L9', 'L11', 'R3', 'R4', 'R6', 'R7', 'R9']",,False
33,48,dribbling,L,1,['L9'],4,"['L9', 'R4', 'R7', 'R9']",,False
34,49,dribbling,L,1,['L9'],6,"['L9', 'L11', 'R4', 'R6', 'R7', 'R9']",,False
