# time,f b 0 dist,f b 0 angle,f b 0 Ddist,f b 0 Dangle,f b l 10 dist,f b l 10 angle,f b l 10 Ddist,f b l 10 Dangle,f b l 20 dist,f b l 20 angle,f b l 20 Ddist,f b l 20 Dangle,f b l 30 dist,f b l 30 angle,f b l 30 Ddist,f b l 30 Dangle,f b l 40 dist,f b l 40 angle,f b l 40 Ddist,f b l 40 Dangle,f b l 50 dist,f b l 50 angle,f b l 50 Ddist,f b l 50 Dangle,f b r 10 dist,f b r 10 angle,f b r 10 Ddist,f b r 10 Dangle,f b r 20 dist,f b r 20 angle,f b r 20 Ddist,f b r 20 Dangle,f b r 30 dist,f b r 30 angle,f b r 30 Ddist,f b r 30 Dangle,f b r 40 dist,f b r 40 angle,f b r 40 Ddist,f b r 40 Dangle,f b r 50 dist,f b r 50 angle,f b r 50 Ddist,f b r 50 Dangle,f c dist,f c angle,f c Ddist,f c Dangle,f c b dist,f c b angle,f c b Ddist,f c b Dangle,f c t dist,f c t angle,f c t Ddist,f c t Dangle,f g l b dist,f g l b angle,f g l b Ddist,f g l b Dangle,f g l t dist,f g l t angle,f g l t Ddist,f g l t Dangle,f g r b dist,f g r b angle,f g r b Ddist,f g r b Dangle,f g r t dist,f g r t angle,f g r t Ddist,f g r t Dangle,f l 0 dist,f l 0 angle,f l 0 Ddist,f l 0 Dangle,f l b dist,f l b angle,f l b Ddist,f l b Dangle,f l b 10 dist,f l b 10 angle,f l b 10 Ddist,f l b 10 Dangle,f l b 20 dist,f l b 20 angle,f l b 20 Ddist,f l b 20 Dangle,f l b 30 dist,f l b 30 angle,f l b 30 Ddist,f l b 30 Dangle,f l t dist,f l t angle,f l t Ddist,f l t Dangle,f l t 10 dist,f l t 10 angle,f l t 10 Ddist,f l t 10 Dangle,f l t 20 dist,f l t 20 angle,f l t 20 Ddist,f l t 20 Dangle,f l t 30 dist,f l t 30 angle,f l t 30 Ddist,f l t 30 Dangle,f p l b dist,f p l b angle,f p l b Ddist,f p l b Dangle,f p l c dist,f p l c angle,f p l c Ddist,f p l c Dangle,f p l t dist,f p l t angle,f p l t Ddist,f p l t Dangle,f p r b dist,f p r b angle,f p r b Ddist,f p r b Dangle,f p r c dist,f p r c angle,f p r c Ddist,f p r c Dangle,f p r t dist,f p r t angle,f p r t Ddist,f p r t Dangle,f r 0 dist,f r 0 angle,f r 0 Ddist,f r 0 Dangle,f r b dist,f r b angle,f r b Ddist,f r b Dangle,f r b 10 dist,f r b 10 angle,f r b 10 Ddist,f r b 10 Dangle,f r b 20 dist,f r b 20 angle,f r b 20 Ddist,f r b 20 Dangle,f r b 30 dist,f r b 30 angle,f r b 30 Ddist,f r b 30 Dangle,f r t dist,f r t angle,f r t Ddist,f r t Dangle,f r t 10 dist,f r t 10 angle,f r t 10 Ddist,f r t 10 Dangle,f r t 20 dist,f r t 20 angle,f r t 20 Ddist,f r t 20 Dangle,f r t 30 dist,f r t 30 angle,f r t 30 Ddist,f r t 30 Dangle,f t 0 dist,f t 0 angle,f t 0 Ddist,f t 0 Dangle,f t l 10 dist,f t l 10 angle,f t l 10 Ddist,f t l 10 Dangle,f t l 20 dist,f t l 20 angle,f t l 20 Ddist,f t l 20 Dangle,f t l 30 dist,f t l 30 angle,f t l 30 Ddist,f t l 30 Dangle,f t l 40 dist,f t l 40 angle,f t l 40 Ddist,f t l 40 Dangle,f t l 50 dist,f t l 50 angle,f t l 50 Ddist,f t l 50 Dangle,f t r 10 dist,f t r 10 angle,f t r 10 Ddist,f t r 10 Dangle,f t r 20 dist,f t r 20 angle,f t r 20 Ddist,f t r 20 Dangle,f t r 30 dist,f t r 30 angle,f t r 30 Ddist,f t r 30 Dangle,f t r 40 dist,f t r 40 angle,f t r 40 Ddist,f t r 40 Dangle,f t r 50 dist,f t r 50 angle,f t r 50 Ddist,f t r 50 Dangle,g l dist,g l angle,g l Ddist,g l Dangle,g r dist,g r angle,g r Ddist,g r Dangle,l b dist,l b angle,l b Ddist,l b Dangle,l l dist,l l angle,l l Ddist,l l Dangle,l r dist,l r angle,l r Ddist,l r Dangle,l t dist,l t angle,l t Ddist,l t Dangle,F dist,F angle,F Ddist,F Dangle,G dist,G angle,G Ddist,G Dangle,L dist,L angle,L Ddist,L Dangle
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,91.8,56,NAN,NAN,98.5,51,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,12.4,14,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,78.3,34,NAN,NAN,70.8,25,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,74.4,50,NAN,NAN,60.3,38,NAN,NAN,50.9,19,NAN,NAN,79,28,NAN,NAN,95.6,48,NAN,NAN,83.9,34,NAN,NAN,90,39,NAN,NAN,96.5,44,NAN,NAN,64.7,3,NAN,NAN,74.4,21,NAN,NAN,71.5,14,NAN,NAN,70.1,6,NAN,NAN,12.2,-9,0,0,2.8,-45,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22.2,-5,0,0,32.1,-4,0,0,42.1,-3,NAN,NAN,51.9,-2,NAN,NAN,62.2,-2,NAN,NAN,NAN,NAN,NAN,NAN,74.4,30,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,91.8,56,NAN,NAN,98.5,51,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,12.4,14,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,78.3,34,NAN,NAN,70.8,25,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,74.4,50,NAN,NAN,60.3,38,NAN,NAN,50.9,19,NAN,NAN,79,28,NAN,NAN,95.6,48,NAN,NAN,83.9,34,NAN,NAN,90,39,NAN,NAN,96.5,44,NAN,NAN,64.7,3,NAN,NAN,74.4,21,NAN,NAN,71.5,14,NAN,NAN,70.1,6,NAN,NAN,12.2,-9,0,0,2.8,-45,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22.2,-5,0,0,32.1,-4,0,0,42.1,-3,NAN,NAN,51.9,-2,NAN,NAN,62.2,-2,NAN,NAN,NAN,NAN,NAN,NAN,74.4,30,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,56.3,78,NAN,NAN,54.6,88,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.1,68,NAN,NAN,63.4,60,NAN,NAN,68.7,53,NAN,NAN,75.2,47,NAN,NAN,82.3,42,NAN,NAN,19.7,54,0,0,50.9,77,NAN,NAN,21.5,-57,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,68,20,NAN,NAN,64.7,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.7,37,NAN,NAN,50.4,18,NAN,NAN,47.9,-5,NAN,NAN,70.8,13,NAN,NAN,81.5,38,NAN,NAN,73.7,20,NAN,NAN,77.5,27,NAN,NAN,83.1,34,NAN,NAN,66.7,-16,NAN,NAN,69.4,5,NAN,NAN,69.4,-3,NAN,NAN,70.8,-12,NAN,NAN,26,-63,0,0,23.3,-86,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31.8,-47,NAN,NAN,39.3,-36,NAN,NAN,47.5,-29,NAN,NAN,56.8,-24,NAN,NAN,66,-21,NAN,NAN,NAN,NAN,NAN,NAN,66,14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,64.1,90,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,58,-89,NAN,NAN,61.6,-80,NAN,NAN,66.7,-73,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,47,-47,NAN,NAN,41.7,-30,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,48.4,-37,NAN,NAN,64.7,-68,NAN,NAN,52.5,-47,NAN,NAN,58,-56,NAN,NAN,64.7,-63,NAN,NAN,44.7,6,NAN,NAN,46.1,-25,NAN,NAN,46.1,-13,NAN,NAN,47.9,-1,NAN,NAN,43.4,-74,NAN,NAN,29.1,-51,0,0,24.8,-8,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.3,76,0,0,24.8,52,NAN,NAN,29.7,34,NAN,NAN,36.6,21,-0,0,44.7,13,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,43.8,-39,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,42.9,72,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,56.3,64,NAN,NAN,54.6,74,NAN,NAN,55.7,85,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.1,54,NAN,NAN,63.4,46,NAN,NAN,68.7,39,NAN,NAN,75.2,33,NAN,NAN,82.3,28,NAN,NAN,19.7,40,0,0,50.9,63,NAN,NAN,21.5,-72,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,68,6,NAN,NAN,64.7,-6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.7,23,NAN,NAN,50.4,4,NAN,NAN,47.9,-19,NAN,NAN,70.8,-1,NAN,NAN,81.5,24,NAN,NAN,73.7,6,NAN,NAN,77.5,13,NAN,NAN,83.1,20,NAN,NAN,66.7,-30,NAN,NAN,69.4,-9,NAN,NAN,69.4,-18,NAN,NAN,70.8,-26,NAN,NAN,26,-77,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31.8,-61,NAN,NAN,39.3,-50,NAN,NAN,47.5,-43,NAN,NAN,56.8,-38,NAN,NAN,66,-35,NAN,NAN,NAN,NAN,NAN,NAN,66,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,66,76,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,61.6,-81,NAN,NAN,66.7,-74,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,47,-48,NAN,NAN,41.7,-31,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,48.4,-38,NAN,NAN,64.7,-69,NAN,NAN,52.5,-48,NAN,NAN,58,-57,NAN,NAN,64.7,-64,NAN,NAN,44.7,5,NAN,NAN,46.1,-26,NAN,NAN,46.1,-14,NAN,NAN,47.9,-2,NAN,NAN,43.4,-75,NAN,NAN,29.1,-52,NAN,NAN,24.8,-9,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.3,75,0,0,24.8,51,-0,0,29.7,33,-0,0,36.6,20,NAN,NAN,44.7,12,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,43.8,-40,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,43.4,71,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,56.3,66,NAN,NAN,54.6,76,NAN,NAN,55.7,87,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.1,56,NAN,NAN,63.4,48,NAN,NAN,68.7,41,NAN,NAN,75.2,35,NAN,NAN,82.3,30,NAN,NAN,19.7,42,0,0,50.9,65,NAN,NAN,21.5,-70,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,68,7,NAN,NAN,64.7,-4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.7,25,NAN,NAN,50.4,6,NAN,NAN,47.9,-17,NAN,NAN,70.8,1,NAN,NAN,81.5,26,NAN,NAN,73.7,8,NAN,NAN,77.5,15,NAN,NAN,83.1,21,NAN,NAN,66.7,-28,NAN,NAN,69.4,-7,NAN,NAN,69.4,-16,NAN,NAN,70.8,-24,NAN,NAN,26,-76,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31.8,-59,NAN,NAN,39.3,-48,NAN,NAN,47.5,-41,NAN,NAN,56.8,-36,NAN,NAN,66,-33,NAN,NAN,NAN,NAN,NAN,NAN,66,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,65.4,78,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,55.7,-88,NAN,NAN,58,-78,NAN,NAN,61.6,-69,NAN,NAN,66.7,-62,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,47,-36,NAN,NAN,41.7,-19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,48.4,-26,NAN,NAN,64.7,-57,NAN,NAN,52.5,-36,NAN,NAN,58,-45,NAN,NAN,64.7,-52,NAN,NAN,44.7,17,NAN,NAN,46.1,-14,NAN,NAN,46.1,-2,NAN,NAN,47.9,10,NAN,NAN,43.4,-63,NAN,NAN,29.1,-40,NAN,NAN,24.8,3,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.3,87,0,0,24.8,63,-0,0,29.7,45,-0,0,36.6,32,NAN,NAN,44.7,24,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,43.8,-28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,41.3,83,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,56.3,69,NAN,NAN,54.6,80,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.1,60,NAN,NAN,63.4,51,NAN,NAN,68.7,44,NAN,NAN,75.2,38,NAN,NAN,82.3,33,NAN,NAN,19.7,45,0,0,50.9,68,NAN,NAN,21.5,-66,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,68,11,NAN,NAN,64.7,-1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,59.7,28,NAN,NAN,50.4,10,NAN,NAN,47.9,-14,NAN,NAN,70.8,4,NAN,NAN,81.5,29,NAN,NAN,73.7,12,NAN,NAN,77.5,19,NAN,NAN,83.1,25,NAN,NAN,66.7,-24,NAN,NAN,69.4,-4,NAN,NAN,69.4,-12,NAN,NAN,70.8,-20,NAN,NAN,26,-72,0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,31.8,-56,NAN,NAN,39.3,-45,NAN,NAN,47.5,-38,NAN,NAN,56.8,-33,NAN,NAN,66,-29,NAN,NAN,NAN,NAN,NAN,NAN,66,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,64.7,81,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,61.6,-82,NAN,NAN,66.7,-75,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,47,-49,NAN,NAN,41.7,-32,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,48.4,-39,NAN,NAN,64.7,-70,NAN,NAN,52.5,-49,NAN,NAN,58,-58,NAN,NAN,64.7,-65,NAN,NAN,44.7,4,NAN,NAN,46.1,-27,NAN,NAN,46.1,-14,NAN,NAN,47.9,-3,NAN,NAN,43.4,-76,NAN,NAN,29.1,-53,NAN,NAN,24.8,-10,-0,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,23.3,74,0,0,24.8,50,-0,0,29.7,32,NAN,NAN,36.6,20,NAN,NAN,44.7,11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,43.8,-41,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,43.4,70,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
